[2016-05-12 13:29:14] [INFO ]  
[2016-05-12 13:29:14] [INFO ] FINCH               + [!] Java Finch Syntactic Engine
[2016-05-12 13:29:14] [INFO ] FINCH               |  + Java-type analysis activated
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadInitInitAfterFieldDeclarationChecker] loaded successfully
[2016-05-12 13:29:15] [ERROR] CHECKER_OPTION      |  + Unable to read the option file: C:\scalaProjects\testPOI\sparrow\option_files\checker_option\BAD_INIT.INIT_AFTER_FIELD_DECLARATION.xml
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadInitMissingAfterLocalDeclarationChecker] loaded successfully
[2016-05-12 13:29:15] [ERROR] CHECKER_OPTION      |  + Unable to read the option file: C:\scalaProjects\testPOI\sparrow\option_files\checker_option\BAD_INIT.MISSING_AFTER_LOCAL_DECLARATION.xml
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadLineWrappingChecker] loaded successfully
[2016-05-12 13:29:15] [ERROR] CHECKER_OPTION      |  + Unable to read the option file: C:\scalaProjects\testPOI\sparrow\option_files\checker_option\BAD_LINE_WRAPPING.xml
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadMethodDeclarationChecker] loaded successfully
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadNameBatchHana] loaded successfully
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadNameClassOrInterfaceChecker] loaded successfully
[2016-05-12 13:29:15] [ERROR] CHECKER_OPTION      |  + Unable to read the option file: C:\scalaProjects\testPOI\sparrow\option_files\checker_option\BAD_NAME.CLASS_OR_INTERFACE.xml
[2016-05-12 13:29:15] [ERROR] CHECKER_LOADER      |  + Custom setting for the checker [com.fasoo.javafinch.syn.checker.cc.BadNameClassOrInterfaceChecker] has been omitted
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadNameCoHanaChecker] loaded successfully
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadNameConstantChecker] loaded successfully
[2016-05-12 13:29:15] [ERROR] CHECKER_OPTION      |  + Unable to read the option file: C:\scalaProjects\testPOI\sparrow\option_files\checker_option\BAD_NAME.CONSTANT.xml
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadNameDoHana] loaded successfully
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadNameDuplicatedChecker] loaded successfully
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadNameMethodChecker] loaded successfully
[2016-05-12 13:29:15] [ERROR] CHECKER_OPTION      |  + Unable to read the option file: C:\scalaProjects\testPOI\sparrow\option_files\checker_option\BAD_NAME.METHOD.xml
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadNameOnlineHanaChecker] loaded successfully
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadNamePackageChecker] loaded successfully
[2016-05-12 13:29:15] [ERROR] CHECKER_OPTION      |  + Unable to read the option file: C:\scalaProjects\testPOI\sparrow\option_files\checker_option\BAD_NAME.PACKAGE.xml
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadNameParameterChecker] loaded successfully
[2016-05-12 13:29:15] [ERROR] CHECKER_OPTION      |  + Unable to read the option file: C:\scalaProjects\testPOI\sparrow\option_files\checker_option\BAD_NAME.PARAMETER.xml
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadNameSpecialCharacterChecker] loaded successfully
[2016-05-12 13:29:15] [ERROR] CHECKER_OPTION      |  + Unable to read the option file: C:\scalaProjects\testPOI\sparrow\option_files\checker_option\BAD_NAME.SPECIAL_CHARACTER.xml
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadNameTooLongChecker] loaded successfully
